Student Number,Female,socioeconomicstrata_round1,children5years_r1,everhadsex_r1,howmanysexpartners_r1,usedrythm_pregn_r1,usedpill_pregn_r1,usedinjection_pregn_r1,usedIUD_pregn_r1,usedcondom_pregn_r1,usedwithdraw_pregn_r1,usedemergency_pregn_r1,usedother_pregn_r1,rythmsafest_pregnancy_r1,pillsafest_pregnancy_r1,injectionsafest_pregnancy_r1,hygienesafest_pregnancy_r1,condomsafest_pregnancy_r1,withdrawalsafest_pregnancy_r1,emergencypsafest_pregnancy_r1,abstinencesafest_pregnancy_r1,other_pregnancy_r1,whichone_pregnancy_r1,dontknow_pregnancy_r1,peopleathome_r1,motherliveathome_r1,educationmother_r1,fatherliveathome_r1,educationfather_r1,whichone1_r1
370,Female,1,No,Yes,1 person,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,,No,10,Yes,High School,Yes,High School,LIGADURA DE TROMPAS
371,Male,I don't know,I don't know,Yes,2-5 people,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,,No,8,Yes,High School,Yes,University,LIGADURA DE TROMPAS
373,Female,1,No answer,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,7,Yes,College,Yes,Elementary School,CONDON
374,Male,1,Yes,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,9,Yes,Elementary School,I don't have any,Elementary School,PASTILLAS ANTICONCEPTIVAS
375,Male,1,No,Yes,1 person,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,3,Yes,High School,No answer,No answer,CONDON
376,Male,2,No,Yes,2-5 people,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,,No,5,Yes,High School,Yes,High School,CONDON
377,Male,I don't know,No answer,Yes,1 person,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,No,5,Yes,High School,Yes,High School,CONDON
378,Male,I don't know,I don't know,Yes,1 person,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,,No,8,Yes,University,No answer,No answer,METODOS ANTICONCEPTIVOS
379,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,No,7,Yes,High School,Yes,College,INYECCION
380,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,3,Yes,No answer,I don't have any,High School,PASTILLAS ANTICONCEPTIVAS
381,Male,I don't know,Yes,Yes,1 person,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,9,Yes,Elementary School,Yes,Elementary School,INYECCION
382,Male,1,I don't know,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,7,Yes,Elementary School,Yes,Elementary School,CONDON
383,Female,1,Yes,Yes,1 person,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,0,Yes,Elementary School,No,Elementary School,CONDON
384,Female,1,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,11,Invalid answer,Elementary School,Is dead,No answer,CONDON
385,Male,1,Yes,Yes,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No,No,Yes,No,No,No,No,,No,7,Yes,High School,Yes,High School,CONDON
386,Male,1,I don't know,No,I don't know,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,Postgraduate,Yes,College,CONDON
387,Male,I don't know,No answer,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,10,Yes,High School,No,High School,CONDON
388,Male,1,I don't know,No,For the last six months I have not had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,13,Yes,Elementary School,Yes,Elementary School,CONDON
389,Male,1,I don't know,Yes,For the last six months I have not had sexual relations,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,Elementary School,Yes,None,CUIDARSE
390,Male,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,High School,Yes,None,CONDON
391,Male,2,I don't know,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,No,6,Yes,Postgraduate,Yes,University,ABSTENCION
392,Male,I don't know,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,4,Yes,High School,Yes,High School,CONDON
393,Female,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,9,Yes,No answer,No,No answer,CONDON
394,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,8,No answer,No answer,No answer,No answer,CONDON
395,Female,Invalid answer,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,8,Yes,Elementary School,Yes,High School,INYECCION
397,Male,1,No,No,1 person,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,4,Yes,High School,Yes,University,CONDON
398,Female,I don't know,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,Yes,No,Invalid answer,No,No,No,Yes,Yes,No,No,No,No,,Yes,997,Yes,Elementary School,Yes,Elementary School,CONDON
399,Female,I don't know,No,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,No,7,Yes,High School,Yes,High School,ABSTENCION
400,Male,1,No,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,6,Yes,None,No,High School,PASTILLAS ANTICONCEPTIVAS
401,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,7,Yes,High School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
402,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,8,Yes,Elementary School,Yes,Elementary School,CONDON
403,Male,1,I don't know,Yes,1 person,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,,No,3,Yes,Elementary School,Yes,College,PROTEGERSE
404,Female,1,I don't know,Yes,1 person,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,8,Yes,Elementary School,Is dead,No answer,CONDON
406,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,7,Yes,Elementary School,Yes,Elementary School,CONDON
407,Male,I don't know,I don't know,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,7,Yes,Elementary School,Yes,Elementary School,CONDON
409,Female,1,Yes,Yes,2-5 people,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,No,9,Yes,None,Yes,Elementary School,CONDON
410,Female,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,4,Yes,High School,No answer,No answer,CUIDARSE
411,Male,2,I don't know,Yes,2-5 people,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,No,6,Yes,High School,Yes,High School,CONDON
412,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,7,Yes,University,Yes,None,PASTILLAS ANTICONCEPTIVAS
413,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,No,No answer,CONDON
415,Female,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,5,Yes,High School,No,High School,INYECCION
416,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,5,No,Elementary School,No,High School,CONDON
417,Male,1,Yes,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,Elementary School,Is dead,None,CUIDARSE
418,Male,1,I don't know,Yes,I don't know,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,University,Yes,Elementary School,CONDON
419,Male,No answer,Yes,Yes,1 person,No,No,No,No,Yes,No,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,,No answer,0,No answer,No answer,No answer,No answer,CONDON
420,Female,1,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,No,5,No answer,No answer,No answer,No answer,INYECCION
421,Male,I don't know,I don't know,Yes,1 person,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,High School,Invalid answer,Elementary School,PASTILLAS ANTICONCEPTIVAS
422,Female,I don't know,Yes,Yes,1 person,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,7,Yes,High School,Yes,High School,CONDON
424,Female,I don't know,Yes,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,No answer,No answer,No answer,No answer,PASTILLAS ANTICONCEPTIVAS
425,Female,I don't know,No,Yes,1 person,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,,No,8,No,High School,No,High School,INYECCION
426,Male,I don't know,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,,No,4,Yes,Elementary School,Yes,High School,PLANIFICAR
427,Male,I don't know,I don't know,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,High School,Yes,High School,CONDON
428,Male,1,Yes,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,9,Yes,College,No,High School,PLANIFICAR
429,Male,I don't know,I don't know,Yes,2-5 people,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,12,Invalid answer,Elementary School,Is dead,University,CONDON
430,Female,I don't know,No,Yes,2-5 people,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,8,Invalid answer,None,Is dead,None,PASTILLAS ANTICONCEPTIVAS
431,Female,I don't know,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,6,Yes,Elementary School,Yes,Elementary School,CUIDARSE
432,Female,I don't know,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,University,Yes,High School,CUIDARSE
433,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,,No,8,Yes,High School,Yes,Elementary School,PLANIFICAR
434,Male,1,No,Yes,2-5 people,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,12,Yes,No answer,No,High School,CONDON
435,Male,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,4,Yes,Elementary School,Yes,Elementary School,CONDON
436,Female,5,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,5,Yes,No answer,Yes,No answer,INYECCION
437,Male,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,6,Yes,High School,Yes,Elementary School,CONDON
438,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,University,Yes,University,CUIDARSE
439,Female,I don't know,I don't know,No answer,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,4,Yes,High School,No answer,High School,CONDON
440,Female,I don't know,I don't know,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,No answer,Yes,No answer,CONDON
441,Female,1,No answer,Yes,1 person,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,5,Yes,High School,Yes,High School,CONDON
443,Female,1,I don't know,No answer,No answer,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,3,Yes,Elementary School,No answer,No answer,INYECCION
444,Female,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,8,No,None,No,None,CONDON
445,Female,I don't know,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,4,Yes,High School,Yes,University,NO SE
446,Female,I don't know,Yes,Yes,2-5 people,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,,Yes,15,Yes,High School,Yes,High School,CONDON
448,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,,No,7,Yes,University,Yes,High School,PASTILLAS ANTICONCEPTIVAS
449,Female,2,I don't know,Yes,1 person,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,6,Yes,Postgraduate,I don't have any,Postgraduate,CONDON
450,Female,I don't know,No answer,Yes,1 person,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,7,Yes,Elementary School,Yes,Elementary School,CONDON
451,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,11,Yes,Elementary School,Yes,Elementary School,CONDON
452,,I don't know,No,,,,,,,,,,,,,,,,,,,,,,6,,,,,PROTEGERSE
453,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,Yes,Elementary School,CUIDARSE
454,Male,3,I don't know,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,High School,Yes,High School,CONDON
455,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,9,Yes,Elementary School,Yes,Elementary School,PROTEGERSE
456,Male,2,I don't know,Yes,2-5 people,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,3,Yes,College,No answer,No answer,PASTILLAS ANTICONCEPTIVAS
457,Male,I don't know,I don't know,Yes,I don't know,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,No,7,Yes,High School,Yes,University,CONDON
459,Male,I don't know,No,Yes,For the last six months I have not had sexual relations,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,15,Yes,No answer,I don't have any,High School,PASTILLAS ANTICONCEPTIVAS
460,Male,I don't know,No,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,University,Yes,High School,CONDON
461,Male,1,I don't know,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,3,Yes,No answer,Yes,High School,PLANIFICAR
462,Female,I don't know,No answer,Yes,1 person,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,0,Yes,High School,Yes,High School,DISPOSITIVO INTRAUTERINO
463,Female,1,Yes,Yes,1 person,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,College,No,Elementary School,DISPOSITIVO INTRAUTERINO
464,Male,1,I don't know,Yes,1 person,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,9,Invalid answer,Postgraduate,Yes,Postgraduate,PLANIFICAR
465,Male,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,University,Yes,High School,CONDON
466,Male,No answer,No,Yes,I don't know,No,No,No,No,Yes,No,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,,No answer,0,No answer,No answer,No answer,No answer,NO SE
467,Male,I don't know,Yes,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Is dead,High School,No,University,PLANIFICAR
468,Male,I don't know,Yes,Yes,1 person,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,None,Yes,None,CONDON
469,Female,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,1,Yes,No answer,Yes,High School,CONDON
470,Male,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,5,Yes,High School,Yes,High School,PROTEGERSE
471,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,High School,No,College,PROTEGERSE
472,Female,4,I don't know,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,No,6,Yes,High School,Yes,High School,PROTEGERSE
473,Male,I don't know,Yes,Yes,I don't know,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,8,Yes,High School,I don't have any,High School,CONDON
474,Female,1,Yes,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,,No,6,Yes,High School,Yes,Elementary School,CONDON
475,Male,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,9,No answer,No answer,Yes,Elementary School,INYECCION
477,Male,2,No answer,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,8,Yes,None,Yes,None,PLANIFICAR
479,Male,I don't know,Yes,No,I have never had sexual relations,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,5,Yes,High School,I don't have any,High School,CONDON
481,Male,1,No answer,Yes,I don't know,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,No,6,No,No answer,No,Elementary School,METODOS ANTICONCEPTIVOS
482,Male,I don't know,Yes,Yes,2-5 people,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,3,No,University,No,University,CONDON
483,Female,No answer,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,9,Yes,High School,Yes,High School,CONDON
484,Male,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,5,Yes,University,Yes,University,CONDON
485,Female,No answer,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,,No,0,Yes,Postgraduate,Yes,Postgraduate,CONDON
486,Female,3,Yes,Yes,1 person,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,5,Yes,Elementary School,Yes,Elementary School,CONDON
487,Female,1,No,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,No,7,Yes,Elementary School,Is dead,High School,INYECCION
488,Female,No answer,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,0,Yes,No answer,Yes,No answer,ABSTENCION
489,Male,I don't know,I don't know,Yes,I don't know,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,No,6,Yes,High School,Yes,University,METODOS ANTICONCEPTIVOS
491,Male,1,Yes,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,Elementary School,I don't have any,No answer,CONDON
492,Male,3,Yes,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,No,4,Yes,Elementary School,Yes,High School,PLANIFICAR
493,Male,1,Yes,Yes,2-5 people,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,5,Yes,High School,Yes,High School,PLANIFICAR
494,Female,1,No answer,No answer,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,No answer,Yes,No answer,PLANIFICAR
495,Male,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,3,Yes,Elementary School,Yes,High School,CONDON
496,Female,2,No answer,Yes,1 person,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,NC,Yes,7,Yes,University,Yes,University,CUIDARSE
497,Male,I don't know,Yes,Yes,2-5 people,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,Yes,Yes,No,Yes,No,No,No,No,,No,4,Yes,College,Yes,College,PASTILLAS ANTICONCEPTIVAS
498,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,10,Yes,High School,Yes,University,PLANIFICAR
499,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,7,Yes,No answer,Yes,High School,INYECCION
500,Male,I don't know,I don't know,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,999,No,High School,Yes,High School,CUIDARSE
501,Male,2,No answer,Yes,2-5 people,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,,No,7,Yes,High School,No,High School,CONDON
502,Male,2,Yes,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,High School,Yes,High School,CONDON
503,Female,4,No,Yes,1 person,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,No,13,Yes,Elementary School,No,Elementary School,PLANIFICAR
504,Male,1,Yes,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,5,Yes,No answer,Yes,High School,CONDON
505,Female,1,I don't know,No,For the last six months I have not had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,8,Yes,High School,Yes,High School,DISPOSITIVO INTRAUTERINO
506,Male,I don't know,I don't know,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,10,Yes,High School,No answer,No answer,PLANIFICAR
507,Female,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,9,Yes,High School,No,No answer,CUIDARSE
508,Male,No answer,Yes,Yes,1 person,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,7,Yes,Elementary School,No answer,No answer,MEDICAMENTOS
509,Male,1,I don't know,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,No,3,Yes,University,I don't have any,University,METODOS ANTICONCEPTIVOS
510,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,5,Yes,None,Yes,College,CONDON
511,Male,2,I don't know,Yes,2-5 people,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,3,Yes,High School,Invalid answer,High School,CONDON
512,Male,3,No,Yes,2-5 people,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,9,Yes,No answer,Yes,No answer,CONDON
513,Female,I don't know,I don't know,Yes,1 person,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,No,7,Yes,Elementary School,I don't have any,No answer,INYECCION
514,Male,1,I don't know,Yes,2-5 people,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,No,0,Yes,High School,Yes,High School,PLANIFICAR
515,Male,I don't know,Yes,Yes,1 person,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,,No,5,Yes,University,Yes,None,ABSTENCION
518,Male,1,No answer,Yes,2-5 people,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,52,Yes,High School,Yes,High School,CUIDARSE
519,Male,Invalid answer,Yes,Yes,Invalid answer,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,6,Yes,No answer,Yes,High School,CONDON
520,Male,3,Yes,Yes,6-10 people,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,No,6,No answer,No answer,No answer,No answer,CONDON
521,Male,2,No answer,Yes,1 person,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,High School,No,College,CONDON
522,Male,No answer,I don't know,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,0,No answer,No answer,No answer,No answer,PLANIFICAR
523,Male,I don't know,I don't know,Yes,1 person,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,,No answer,3,Invalid answer,No answer,Yes,No answer,CONDON
524,Male,1,No,Yes,I don't know,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,No answer,Yes,No answer,OPERACION
525,Male,1,I don't know,Yes,I don't know,Yes,No,No,No,Yes,Yes,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,,No answer,5,Yes,Elementary School,No,College,CONDON
526,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,9,No answer,No answer,No answer,No answer,CONDON
527,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,5,Yes,High School,Yes,High School,PLANIFICAR
528,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,,No answer,5,Yes,High School,Yes,Elementary School,CONDON
529,Female,1,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,Yes,High School,CONDON
531,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,Yes,5,Yes,University,Yes,University,CONDON
532,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,,No,7,Yes,High School,No,Postgraduate,ABSTENCION
533,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,High School,Yes,Elementary School,PASTILLAS ANTICONCEPTIVAS
